date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2016-05-03,99927.769,0.0,1.0,99927.769,0.999278,100000.0
2016-05-04,100066.704,0.0,0.999,100066.704,1.000667,100000.0
2016-05-05,99835.64,0.0,1.001,99835.64,0.998356,100000.0
2016-05-06,99835.64,0.0,0.998,99835.64,0.998356,100000.0
2016-05-09,99883.595,0.0,0.998,99883.595,0.998836,100000.0
2016-05-10,99883.595,0.0,0.999,99883.595,0.998836,100000.0
2016-05-11,99721.659,0.0,0.999,99721.659,0.997217,100000.0
2016-05-12,99620.695,0.0,0.997,99620.695,0.996207,100000.0
2016-05-13,99389.78,0.0,0.996,99389.78,0.993898,100000.0
2016-05-16,99498.859,0.0,0.994,99498.859,0.994989,100000.0
2016-05-17,100097.939,0.0,0.995,100097.939,1.000979,100000.0
2016-05-18,99836.064,0.0,1.001,99836.064,0.998361,100000.0
2016-05-19,99935.148,0.0,0.998,99935.148,0.999351,100000.0
2016-05-20,99935.148,0.0,0.999,99935.148,0.999351,100000.0
2016-05-23,99864.223,0.0,0.999,99864.223,0.998642,100000.0
2016-05-24,100243.36,0.0,0.999,100243.36,1.002434,100000.0
2016-05-25,100091.613,0.0,1.002,100091.613,1.000916,100000.0
2016-05-26,100530.752,0.0,1.001,100530.752,1.005308,100000.0
2016-05-27,100530.752,0.0,1.005,100530.752,1.005308,100000.0
2016-05-30,101088.964,0.0,1.005,101088.964,1.01089,100000.0
2016-05-31,101088.964,0.0,1.011,101088.964,1.01089,100000.0
2016-06-01,101208.09,0.0,1.011,101208.09,1.012081,100000.0
2016-06-02,101127.205,0.0,1.012,101127.205,1.011272,100000.0
2016-06-03,101127.205,0.0,1.011,101127.205,1.011272,100000.0
2016-06-06,101156.28,0.0,1.011,101156.28,1.011563,100000.0
2016-06-07,101156.28,0.0,1.012,101156.28,1.011563,100000.0
2016-06-08,101765.358,0.0,1.012,101765.358,1.017654,100000.0
2016-06-13,101765.358,0.0,1.018,101765.358,1.017654,100000.0
2016-06-14,101453.452,0.0,1.018,101453.452,1.014535,100000.0
2016-06-15,101453.452,0.0,1.015,101453.452,1.014535,100000.0
2016-06-16,101482.52,0.0,1.015,101482.52,1.014825,100000.0
2016-06-17,101341.591,0.0,1.015,101341.591,1.013416,100000.0
2016-06-20,101180.657,0.0,1.013,101180.657,1.011807,100000.0
2016-06-21,101089.712,0.0,1.012,101089.712,1.010897,100000.0
2016-06-22,101288.759,0.0,1.011,101288.759,1.012888,100000.0
2016-06-23,101317.797,0.0,1.013,101317.797,1.013178,100000.0
2016-06-24,101335.878,0.0,1.013,101335.878,1.013359,100000.0
2016-06-27,102274.9,0.0,1.013,102274.9,1.022749,100000.0
2016-06-28,102443.887,0.0,1.023,102443.887,1.024439,100000.0
2016-06-29,102451.868,0.0,1.024,102451.868,1.024519,100000.0
2016-06-30,103289.817,0.0,1.025,103289.817,1.032898,100000.0
2016-07-01,103598.773,0.0,1.033,103598.773,1.035988,100000.0
2016-07-04,103827.694,0.0,1.036,103827.694,1.038277,100000.0
2016-07-05,103456.623,0.0,1.038,103456.623,1.034566,100000.0
2016-07-06,103784.5,0.0,1.035,103784.5,1.037845,100000.0
2016-07-07,104053.438,0.0,1.038,104053.438,1.040534,100000.0
2016-07-08,103842.362,0.0,1.041,103842.362,1.038424,100000.0
2016-07-11,104020.191,0.0,1.038,104020.191,1.040202,100000.0
2016-07-12,105409.102,0.0,1.04,105409.102,1.054091,100000.0
2016-07-13,105207.958,0.0,1.054,105207.958,1.05208,100000.0
2016-07-14,105016.831,0.0,1.052,105016.831,1.050168,100000.0
2016-07-15,104984.565,0.0,1.05,104984.565,1.049846,100000.0
2016-07-18,103480.275,23620.0,1.05,104661.275,1.046613,100000.0
2016-07-19,104610.214,0.0,1.047,104610.214,1.046102,100000.0
2016-07-20,104610.214,0.0,1.046,104610.214,1.046102,100000.0
2016-07-21,104498.105,0.0,1.046,104498.105,1.044981,100000.0
2016-07-22,104498.105,0.0,1.045,104498.105,1.044981,100000.0
2016-07-25,104876.027,0.0,1.045,104876.027,1.04876,100000.0
2016-07-26,105424.984,0.0,1.049,105424.984,1.05425,100000.0
2016-07-27,105183.893,0.0,1.054,105183.893,1.051839,100000.0
2016-07-28,105812.806,0.0,1.052,105812.806,1.058128,100000.0
2016-07-29,105670.619,0.0,1.058,105670.619,1.056706,100000.0
2016-08-01,106508.432,0.0,1.057,106508.432,1.065084,100000.0
2016-08-02,106508.432,0.0,1.065,106508.432,1.065084,100000.0
2016-08-03,106376.19,0.0,1.065,106376.19,1.063762,100000.0
2016-08-04,106113.973,0.0,1.064,106113.973,1.06114,100000.0
2016-08-05,106402.843,0.0,1.061,106402.843,1.064028,100000.0
2016-08-08,106491.708,0.0,1.064,106491.708,1.064917,100000.0
2016-08-09,106230.542,0.0,1.065,106230.542,1.062305,100000.0
2016-08-10,106109.38,0.0,1.062,106109.38,1.061094,100000.0
2016-08-11,105968.23,0.0,1.061,105968.23,1.059682,100000.0
2016-08-12,106087.075,0.0,1.06,106087.075,1.060871,100000.0
2016-08-15,106474.79,0.0,1.061,106474.79,1.064748,100000.0
2016-08-16,107163.628,0.0,1.065,107163.628,1.071636,100000.0
2016-08-17,107112.46,0.0,1.072,107112.46,1.071125,100000.0
2016-08-18,107112.46,0.0,1.071,107112.46,1.071125,100000.0
2016-08-19,107020.17,0.0,1.071,107020.17,1.070202,100000.0
2016-08-22,107119.014,0.0,1.07,107119.014,1.07119,100000.0
2016-08-23,107157.844,0.0,1.071,107157.844,1.071578,100000.0
2016-08-24,107016.678,0.0,1.072,107016.678,1.070167,100000.0
2016-08-25,107695.554,0.0,1.07,107695.554,1.076956,100000.0
2016-08-26,107544.412,0.0,1.077,107544.412,1.075444,100000.0
2016-08-29,107343.3,0.0,1.075,107343.3,1.073433,100000.0
2016-08-30,107202.194,0.0,1.073,107202.194,1.072022,100000.0
2016-08-31,107081.106,0.0,1.072,107081.106,1.070811,100000.0
2016-09-01,107081.106,0.0,1.071,107081.106,1.070811,100000.0
2016-09-02,106910.006,0.0,1.071,106910.006,1.0691,100000.0
2016-09-05,106778.905,0.0,1.069,106778.905,1.067789,100000.0
2016-09-06,106677.803,0.0,1.068,106677.803,1.066778,100000.0
2016-09-07,106506.746,0.0,1.067,106506.746,1.065067,100000.0
2016-09-08,106506.746,0.0,1.065,106506.746,1.065067,100000.0
2016-09-09,106855.707,0.0,1.065,106855.707,1.068557,100000.0
2016-09-12,106764.664,0.0,1.069,106764.664,1.067647,100000.0
2016-09-13,106764.664,0.0,1.068,106764.664,1.067647,100000.0
2016-09-14,106673.644,0.0,1.068,106673.644,1.066736,100000.0
2016-09-19,106673.644,0.0,1.067,106673.644,1.066736,100000.0
2016-09-20,106673.644,0.0,1.067,106673.644,1.066736,100000.0
2016-09-21,106772.633,0.0,1.067,106772.633,1.067726,100000.0
2016-09-22,107381.612,0.0,1.068,107381.612,1.073816,100000.0
2016-09-23,107510.579,0.0,1.074,107510.579,1.075106,100000.0
2016-09-26,107429.526,0.0,1.075,107429.526,1.074295,100000.0
2016-09-27,107429.526,0.0,1.074,107429.526,1.074295,100000.0
2016-09-28,107429.526,0.0,1.074,107429.526,1.074295,100000.0
2016-09-29,107429.526,0.0,1.074,107429.526,1.074295,100000.0
2016-09-30,107429.526,0.0,1.074,107429.526,1.074295,100000.0
2016-10-10,107429.526,0.0,1.074,107429.526,1.074295,100000.0
2016-10-11,107429.526,0.0,1.074,107429.526,1.074295,100000.0
2016-10-12,107758.48,0.0,1.074,107758.48,1.077585,100000.0
2016-10-13,107695.316,0.0,1.078,107695.316,1.076953,100000.0
2016-10-14,108214.26,0.0,1.077,108214.26,1.082143,100000.0
2016-10-17,108423.171,0.0,1.082,108423.171,1.084232,100000.0
2016-10-18,108692.087,0.0,1.084,108692.087,1.086921,100000.0
2016-10-19,108460.973,0.0,1.087,108460.973,1.08461,100000.0
2016-10-20,108629.861,0.0,1.085,108629.861,1.086299,100000.0
2016-10-21,108538.758,0.0,1.086,108538.758,1.085388,100000.0
2016-10-24,108346.543,0.0,1.085,108346.543,1.083465,100000.0
2016-10-25,108685.4,0.0,1.083,108685.4,1.086854,100000.0
2016-10-26,108524.252,0.0,1.087,108524.252,1.085243,100000.0
2016-10-27,108393.107,0.0,1.085,108393.107,1.083931,100000.0
2016-10-28,108393.107,0.0,1.084,108393.107,1.083931,100000.0
2016-10-31,109030.8,0.0,1.084,109030.8,1.090308,100000.0
2016-11-01,108797.292,0.0,1.09,108797.292,1.087973,100000.0
2016-11-02,108664.932,0.0,1.088,108664.932,1.086649,100000.0
2016-11-03,109193.745,0.0,1.087,109193.745,1.091937,100000.0
2016-11-04,109282.526,0.0,1.092,109282.526,1.092825,100000.0
2016-11-07,110681.289,0.0,1.093,110681.289,1.106813,100000.0
2016-11-08,110098.721,0.0,1.107,110098.721,1.100987,100000.0
2016-11-09,110687.395,0.0,1.101,110687.395,1.106874,100000.0
2016-11-10,110687.395,0.0,1.107,110687.395,1.106874,100000.0
2016-11-11,110914.637,0.0,1.107,110914.637,1.109146,100000.0
2016-11-14,110513.297,0.0,1.109,110513.297,1.105133,100000.0
2016-11-15,110513.297,0.0,1.105,110513.297,1.105133,100000.0
2016-11-16,110513.297,0.0,1.105,110513.297,1.105133,100000.0
2016-11-17,110513.297,0.0,1.105,110513.297,1.105133,100000.0
2016-11-18,110450.799,0.0,1.105,110450.799,1.104508,100000.0
2016-11-21,110269.559,0.0,1.105,110269.559,1.102696,100000.0
2016-11-22,110457.041,0.0,1.103,110457.041,1.10457,100000.0
2016-11-23,110935.734,0.0,1.105,110935.734,1.109357,100000.0
2016-11-24,111394.426,0.0,1.109,111394.426,1.113944,100000.0
2016-11-25,111394.426,0.0,1.114,111394.426,1.113944,100000.0
2016-11-28,111563.026,0.0,1.114,111563.026,1.11563,100000.0
2016-11-29,111563.026,0.0,1.116,111563.026,1.11563,100000.0
2016-11-30,111563.026,0.0,1.116,111563.026,1.11563,100000.0
2016-12-01,111563.026,0.0,1.116,111563.026,1.11563,100000.0
2016-12-02,111081.628,0.0,1.116,111081.628,1.110816,100000.0
2016-12-05,112758.857,0.0,1.111,112758.857,1.127589,100000.0
2016-12-06,112987.419,0.0,1.128,112987.419,1.129874,100000.0
2016-12-07,112987.419,0.0,1.13,112987.419,1.129874,100000.0
2016-12-08,113615.921,0.0,1.13,113615.921,1.136159,100000.0
2016-12-09,114442.949,0.0,1.136,114442.949,1.144429,100000.0
2016-12-12,114621.45,0.0,1.144,114621.45,1.146215,100000.0
2016-12-13,114621.45,0.0,1.146,114621.45,1.146215,100000.0
2016-12-14,114318.395,0.0,1.146,114318.395,1.143184,100000.0
2016-12-15,114205.36,0.0,1.143,114205.36,1.142054,100000.0
2016-12-16,113943.847,0.0,1.142,113943.847,1.139438,100000.0
2016-12-19,113520.925,0.0,1.139,113520.925,1.135209,100000.0
2016-12-20,113520.925,0.0,1.135,113520.925,1.135209,100000.0
2016-12-21,113279.502,0.0,1.135,113279.502,1.132795,100000.0
2016-12-22,112826.703,0.0,1.133,112826.703,1.128267,100000.0
2016-12-23,112826.703,0.0,1.128,112826.703,1.128267,100000.0
2016-12-26,112485.378,0.0,1.128,112485.378,1.124854,100000.0
2016-12-27,112485.378,0.0,1.125,112485.378,1.124854,100000.0
2016-12-28,112494.036,0.0,1.125,112494.036,1.12494,100000.0
2016-12-29,111950.052,0.0,1.125,111950.052,1.119501,100000.0
2016-12-30,111617.44,0.0,1.12,111617.44,1.116174,100000.0
2017-01-03,111516.128,0.0,1.116,111516.128,1.115161,100000.0
2017-01-04,112434.85,0.0,1.115,112434.85,1.124348,100000.0
2017-01-05,112663.533,0.0,1.124,112663.533,1.126635,100000.0
2017-01-06,112500.896,0.0,1.127,112500.896,1.125009,100000.0
2017-01-09,113338.256,0.0,1.125,113338.256,1.133383,100000.0
2017-01-10,113338.256,0.0,1.133,113338.256,1.133383,100000.0
2017-01-11,113338.256,0.0,1.133,113338.256,1.133383,100000.0
2017-01-12,113105.364,0.0,1.133,113105.364,1.131054,100000.0
2017-01-13,112742.482,0.0,1.131,112742.482,1.127425,100000.0
2017-01-16,113341.053,0.0,1.127,113341.053,1.133411,100000.0
2017-01-17,113569.583,0.0,1.133,113569.583,1.135696,100000.0
2017-01-18,113308.102,0.0,1.136,113308.102,1.133081,100000.0
2017-01-19,113115.172,0.0,1.133,113115.172,1.131152,100000.0
2017-01-20,112973.709,0.0,1.131,112973.709,1.129737,100000.0
2017-01-23,112973.709,0.0,1.13,112973.709,1.129737,100000.0
2017-01-24,113112.233,0.0,1.13,113112.233,1.131122,100000.0
2017-01-25,113440.764,0.0,1.131,113440.764,1.134408,100000.0
2017-01-26,113819.262,0.0,1.134,113819.262,1.138193,100000.0
2017-02-03,113657.804,0.0,1.138,113657.804,1.136578,100000.0
2017-02-06,113657.804,0.0,1.137,113657.804,1.136578,100000.0
2017-02-07,113657.804,0.0,1.137,113657.804,1.136578,100000.0
2017-02-08,113657.804,0.0,1.137,113657.804,1.136578,100000.0
2017-02-09,113406.349,0.0,1.137,113406.349,1.134063,100000.0
2017-02-10,112883.374,0.0,1.134,112883.374,1.128834,100000.0
2017-02-13,112883.374,0.0,1.129,112883.374,1.128834,100000.0
2017-02-14,113411.849,0.0,1.129,113411.849,1.134118,100000.0
2017-02-15,112838.779,0.0,1.134,112838.779,1.128388,100000.0
2017-02-16,113755.705,0.0,1.128,113755.705,1.137557,100000.0
2017-02-17,114254.166,0.0,1.138,114254.166,1.142542,100000.0
2017-02-20,115062.605,0.0,1.143,115062.605,1.150626,100000.0
2017-02-21,115062.605,0.0,1.151,115062.605,1.150626,100000.0
2017-02-22,114961.013,0.0,1.151,114961.013,1.14961,100000.0
2017-02-23,114749.421,0.0,1.15,114749.421,1.147494,100000.0
2017-02-24,113867.855,0.0,1.147,113867.855,1.138679,100000.0
2017-02-27,114206.245,0.0,1.139,114206.245,1.142062,100000.0
2017-02-28,113944.647,0.0,1.142,113944.647,1.139446,100000.0
2017-03-01,114283.067,0.0,1.139,114283.067,1.142831,100000.0
2017-03-02,114051.467,0.0,1.143,114051.467,1.140515,100000.0
2017-03-03,113909.893,0.0,1.141,113909.893,1.139099,100000.0
2017-03-06,113658.307,0.0,1.139,113658.307,1.136583,100000.0
2017-03-07,113416.745,0.0,1.137,113416.745,1.134167,100000.0
2017-03-08,113243.637,0.0,1.134,113243.637,1.132436,100000.0
2017-03-09,113052.104,0.0,1.132,113052.104,1.130521,100000.0
2017-03-10,113180.578,0.0,1.131,113180.578,1.131806,100000.0
2017-03-13,114657.51,0.0,1.132,114657.51,1.146575,100000.0
2017-03-14,114657.51,0.0,1.147,114657.51,1.146575,100000.0
2017-03-15,114657.51,0.0,1.147,114657.51,1.146575,100000.0
2017-03-16,114495.873,0.0,1.147,114495.873,1.144959,100000.0
2017-03-17,114254.255,0.0,1.145,114254.255,1.142543,100000.0
2017-03-20,114022.628,0.0,1.143,114022.628,1.140226,100000.0
2017-03-21,113831.024,0.0,1.14,113831.024,1.13831,100000.0
2017-03-22,113809.492,0.0,1.138,113809.492,1.138095,100000.0
2017-03-23,113809.492,0.0,1.138,113809.492,1.138095,100000.0
2017-03-24,114606.683,0.0,1.138,114606.683,1.146067,100000.0
2017-03-27,115123.924,0.0,1.146,115123.924,1.151239,100000.0
2017-03-28,115123.924,0.0,1.151,115123.924,1.151239,100000.0
2017-03-29,114922.51,0.0,1.151,114922.51,1.149225,100000.0
2017-03-30,114711.093,0.0,1.149,114711.093,1.147111,100000.0
2017-03-31,114308.245,0.0,1.147,114308.245,1.143082,100000.0
2017-04-05,114686.812,0.0,1.143,114686.812,1.146868,100000.0
2017-04-06,114483.943,0.0,1.147,114483.943,1.144839,100000.0
2017-04-07,114172.544,0.0,1.145,114172.544,1.141725,100000.0
2017-04-10,113891.183,0.0,1.142,113891.183,1.138912,100000.0
2017-04-11,114069.844,0.0,1.139,114069.844,1.140698,100000.0
2017-04-12,113928.511,0.0,1.141,113928.511,1.139285,100000.0
2017-04-13,113997.199,0.0,1.139,113997.199,1.139972,100000.0
2017-04-14,113815.88,0.0,1.14,113815.88,1.138159,100000.0
2017-04-17,114093.242,0.0,1.138,114093.242,1.140932,100000.0
2017-04-18,113790.639,0.0,1.141,113790.639,1.137906,100000.0
2017-04-19,113790.639,0.0,1.138,113790.639,1.137906,100000.0
2017-04-20,114658.104,0.0,1.138,114658.104,1.146581,100000.0
2017-04-21,114776.792,0.0,1.147,114776.792,1.147768,100000.0
2017-04-24,115225.498,0.0,1.148,115225.498,1.152255,100000.0
2017-04-25,115054.186,0.0,1.152,115054.186,1.150542,100000.0
2017-04-26,115352.863,0.0,1.151,115352.863,1.153529,100000.0
2017-04-27,115821.529,0.0,1.154,115821.529,1.158215,100000.0
2017-04-28,116290.153,0.0,1.158,116290.153,1.162902,100000.0
